PROYECTO_ID;ORIGEN_ID;CLIENTE_ID;EMPRESA_ID;FOLIO;CORTO;NOMBRE;CONTRATO;HORAS;COSTO;COSTO_DESCUENTO;COSTO_TOTAL;INICIO;TERMINO;ESTATUS;BRM;DESCUENTO;ANEXO;ORDEN;ADMON;RESPONSABLE_VTA;CODIGO_PROYECTO;MONEDA_ID;COMENTARIOS;CODIGO_PRY_BANCO;RESPONSABLE_PRY_CLIENTE;RESPONSABLE_PTO;AREA_INTERNA_ID;PORCENTAJE_AVANCE;OPORTUNIDAD_ID;TIPO_SERVICIO_ID;PRIORIDAD;CONSECUTIVO;ANO;CODIGO_CLIENTE;ASIGNACION_ID;PROYECTO_ID;NOMINA_ID;ANO1;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ANO2;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;ANO3;ene-03;feb-03;mar-03;abr-03;may-03;jun-03;jul-03;ago-03;sep-03;oct-03;nov-03;dic-03;ASIGNA_INICIO;ASIGNA_FIN
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;397;154;95;2014;;;120;160;168;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;1;9;1;P14-224;14-08 BR Premium;14-08 BR Premium;1068136466;504;156492;156492;137712.96;02/26/2014;05/26/2014;CERRADO;2596155;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;392;153;71;2014;;24;160;160;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;398;154;99;2014;;16;160;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;9;1;P12-643;12-06 Cheques Dólares BNP;12-06 Cheques Dólares BNP;0001437006;2318;1122060;1088398.2;816298.65;05/01/2012;08/31/2013;CERRADO;2125842;3;Anexo 3 bSide;17494;N;1;;21;;;;21;;;;1;Bajo;;;;60;60;1;2012;;;;;0;20;20;20;12;68;6;20;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;9;1;P12-643;12-06 Cheques Dólares BNP;12-06 Cheques Dólares BNP;0001437006;2318;1122060;1088398.2;816298.65;05/01/2012;08/31/2013;CERRADO;2125842;3;Anexo 3 bSide;17494;N;1;;21;;;;21;;;;1;Bajo;;;;61;60;12;2012;;;;;176;168;176;184;;;;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;9;1;P12-643;12-06 Cheques Dólares BNP;12-06 Cheques Dólares BNP;0001437006;2318;1122060;1088398.2;816298.65;05/01/2012;08/31/2013;CERRADO;2125842;3;Anexo 3 bSide;17494;N;1;;21;;;;21;;;;1;Bajo;;;;62;60;5;2012;;;;;;;;184;160;;;120;2013;176;152;;92;;;84;;;;;;;;;;;;;;;;;;;;
60;1;9;1;P12-643;12-06 Cheques Dólares BNP;12-06 Cheques Dólares BNP;0001437006;2318;1122060;1088398.2;816298.65;05/01/2012;08/31/2013;CERRADO;2125842;3;Anexo 3 bSide;17494;N;1;;21;;;;21;;;;1;Bajo;;;;63;60;7;2012;;;;;;;;184;88;;;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;1;9;1;P12-1070;12-30 Tester Domi Ext. 3;DESARR CIRCULAR 23 REGULACION DOMICILIACION;0001467421;2868;846060;778375.2;389187.6;10/01/2012;06/30/2013;CERRADO;2189029;8;Anexo 1 Sonda;18129;N;1;;21;;;;21;;;;1;Bajo;;;;84;72;1;2012;;;;;;;;;;;16;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;1;9;1;P12-1070;12-30 Tester Domi Ext. 3;DESARR CIRCULAR 23 REGULACION DOMICILIACION;0001467421;2868;846060;778375.2;389187.6;10/01/2012;06/30/2013;CERRADO;2189029;8;Anexo 1 Sonda;18129;N;1;;21;;;;21;;;;1;Bajo;;;;85;72;23;2012;;;;;;;;;;24;160;152;2013;176;152;144;176;176;96;;;;;;;;;;;;;;;;;;;;;
72;1;9;1;P12-1070;12-30 Tester Domi Ext. 3;DESARR CIRCULAR 23 REGULACION DOMICILIACION;0001467421;2868;846060;778375.2;389187.6;10/01/2012;06/30/2013;CERRADO;2189029;8;Anexo 1 Sonda;18129;N;1;;21;;;;21;;;;1;Bajo;;;;86;72;25;2012;;;;;;;;;;24;160;152;2013;176;152;144;88;0;;;;;;;;;;;;;;;;;;;;;;
